"","pos","last","first","numfirstlast","firstlast","index","player.id","woi.id","pC","pL","pR","pD","pG","DOB","Height","Weight","Shoots"
"1",NA,"","","","",1,1,"xxxxxxxNA",0,0,0,0,0,NA,NA,NA,NA
"2","C","AALTO","ANTTI","[TSN] Antti Aalto","ANTTI AALTO",2,2,"aaltoan75",0,0,0,0,0,"1975-03-04","6-1","210","L"
"3","LR","AALTONEN","JUHA-MATTI","[TSN] Juha-Matti Aaltonen","JUHA-MATTI AALTONEN",3,3,"aaltoju85",0,0,0,0,0,"1985-06-04","6-0","180","R"
"4","C","AALTONEN","MIRO","[TSN] Miro Aaltonen","MIRO AALTONEN",4,4,"aaltomi93",0,0,0,0,0,"1993-06-07","5-10","172","L"
"5","C","AALTONEN","MIRO","[CAP] AALTONEN, MIRO","MIRO AALTONEN",5,4,"aaltomi93",0,0,0,0,0,"1993-06-07","5-10","172","L"
"6","R","ABBOTT","SPENCER","[TSN] Spencer Abbott","SPENCER ABBOTT",6,5,"abbotsp88",0,0,0,0,0,"1988-04-30","5-9","170","R"
"7","R","ABBOTT","SPENCER","[CAP] ABBOTT, SPENCER","SPENCER ABBOTT",7,5,"abbotsp88",0,0,0,0,0,"1988-04-30","5-9","170","R"
"8","R","ABBOTT","SPENCER","56 SPENCER ABBOTT","SPENCER ABBOTT",12359,5,"abbotsp88",0,1,0,0,0,"1988-04-30","5-9","170","R"
"9","RL","ABDELKADER","JUSTIN","[TSN] Justin Abdelkader","JUSTIN ABDELKADER",8,6,"abdelju87",0,0,0,0,0,"1987-02-25","6-1","219","L"
"10","RL","ABDELKADER","JUSTIN","[CAP] ABDELKADER, JUSTIN","JUSTIN ABDELKADER",9,6,"abdelju87",0,0,0,0,0,"1987-02-25","6-1","219","L"
"11","RL","ABDELKADER","JUSTIN","8 JUSTIN ABDELKADER","JUSTIN ABDELKADER",10458,6,"abdelju87",0,457,0,0,0,"1987-02-25","6-1","219","L"
"12","D","ABELTSHAUSER","KONRAD","[TSN] Konrad Abeltshauser","KONRAD ABELTSHAUSER",10,7,"abeltko92",0,0,0,0,0,"1992-09-02","6-5","225","L"
